"Immigracions procedents de la resta d'Espanya. Per sexe, grups d'edat i lloc de naixement."
Catalunya. 2017
"Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=6383
,De 0 a 14 anys,De 15 a 29 anys,De 30 a 34 anys,De 35 a 44 anys,De 45 a 59 anys,De 60 anys i més,Total
Homes,3106,7760,4282,6255,3808,2110,27321
nascuts a Catalunya,889,1229,588,1186,839,382,5113
nascuts a la resta d'Espanya,1729,3500,1884,2052,1215,1382,11762
nascuts a l'estranger,488,3031,1810,3017,1754,346,10446
Dones,2843,8228,3823,4578,3043,2700,25215
nascudes a Catalunya,798,1255,587,1001,680,361,4682
nascudes a la resta d'Espanya,1555,3882,1745,1547,942,1897,11568
nascudes a l'estranger,490,3091,1491,2030,1421,442,8965
Total,5949,15988,8105,10833,6851,4810,52536
nascuts a Catalunya,1687,2484,1175,2187,1519,743,9795
nascuts a la resta d'Espanya,3284,7382,3629,3599,2157,3279,23330
nascuts a l'estranger,978,6122,3301,5047,3175,788,19411

