"Año";"Periodo";"Barcelona﻿ ";"España"
"2014";"Trimestre 2";"-3,13";"-4,44"
"2014";"Trimestre 3";"-2,64";"-4,41"
"2014";"Trimestre 4";"-2,52";"-3,69"
"2015";"Trimestre 1";"-3,28";"-3,51"
"2015";"Trimestre 2";"0,51";"-1,78"
"2015";"Trimestre 3";"-1,26";"-2,76"
"2015";"Trimestre 4";"-0,97";"-2,64"
"2016";"Trimestre 1";"0,28";"-1,76"
"2016";"Trimestre 2";"-3,92";"-2,64"
"2016";"Trimestre 3";"-0,39";"-1,5"
"2016";"Trimestre 4";"-0,18";"-1,33"
"2017";"Trimestre 1";"2,46";"1,54"
"2017";"Trimestre 2";"5,09";"0,65"
"2017";"Trimestre 3";"4,55";"0,49"
"2017";"Trimestre 4";"8,22";"1,8"
"2018";"Trimestre 1";"20,97";"1,65"
"2018";"Trimestre 2";"20,51";"2,68"
"2018";"Trimestre 3";"19,45";"3,7"
"2018";"Trimestre 4";"17,25";"4,19"
"2019";"Trimestre 1";"12,24";"5,15"
;;;
;;;
"Métrica":"Barcelona﻿ "
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"España"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/comparacion-crimen-municipio-frente-conjunto-espana/f1e7d5e5-31a1-4d3c-a8c6-cf8f8c3a47a5/barcelona/1325"
"Titulo":"Comparación del crimen en Barcelona frente al conjunto de España "
"Subtitulo":"Variación interanual del crimen en lo que va de año"
