Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
ca,"Jordi Sànchez i Picanyol","",1345,1095,1046,823,1002,1031,1145,1103,1035,901,869,932,810,1035,867,718,690,930,1499,2331,2317,1940,1790,1964,46,110,908,1136,1297,1543,1366
es,"Jordi Sànchez Picanyol","",294,229,197,144,150,305,546,267,538,2516,1121,330,214,261,168,126,548,235,208,271,186,123,128,225,581,502,142,130,102,100,99
fi,"Jordi Sànchez","",0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,154,289,288,253,288,285,285,283,232,168,141,288,287
en,"Jordi Sànchez i Picanyol","",25,26,16,24,17,30,26,20,20,89,65,57,41,32,37,38,39,38,32,49,30,30,201,314,346,120,42,24,44,31,25
fr,"Jordi Sànchez i Picanyol","",4,5,4,9,7,15,4,1,16,22,10,10,6,6,14,3,10,8,5,10,7,4,9,7,10,10,2,4,4,1,7
eu,"Jordi Sànchez","",3,0,0,0,1,1,3,1,3,21,5,3,2,1,1,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0
de,"Jordi Sànchez i Picanyol","",0,1,0,1,1,1,0,1,2,5,2,1,4,1,2,0,0,5,1,5,3,1,1,0,2,5,1,2,2,0,1
gl,"Jordi Sànchez","",0,0,0,1,0,0,0,0,0,6,3,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
pl,"Jordi Sánchez i Picanyol","",0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,0,1
ast,"Jordi Sànchez Picanyol","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
br,"Jordi Sànchez","",0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oc,"Jordi Sànchez i Picanyol","",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cs,"Jordi Sànchez i Picanyol","",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cy,"Jordi Sànchez i Picanyol","",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
